id,lu2016,meta
Smp_026630,-1.1849,-1.29434584430391
Smp_026670,6.2943,6.36453028026179
Smp_026700,-1.4638,-1.52021439020585
Smp_026820,6.9768,6.33116277433904
Smp_026910,-0.9664,-1.08031928475694
Smp_026930,-0.9180,-1.0044454400267
Smp_027010,0.6389,0.534784327177725
Smp_027040,-0.7895,-0.890063901350302
Smp_027080,-0.9860,-1.08075780171238
Smp_027220,-1.1980,-1.30044781903159
Smp_027240,-1.3101,-1.41372516690789
Smp_027250,-0.8099,-0.914289036882505
Smp_027290,8.8804,9.64448145262712
Smp_027300,-1.1099,-1.23733684606708
Smp_027340,-0.7404,-0.868644042346361
Smp_027390,0.8584,0.75910356177511
Smp_027400,-0.6069,-0.702359929625469
Smp_027480,-0.5633,-0.653400171123239
Smp_027610,-1.6777,-1.7867807018296
Smp_027750,-0.6027,-0.725793331936794
Smp_027850,0.9099,0.794538734960822
Smp_027890,-1.6042,-1.68888241600447
Smp_027900,-1.7286,-1.83752412964702
Smp_027920,-3.1975,-3.29398138209687
Smp_027970,-0.5164,-0.603260817339363
Smp_028050,-1.7144,-1.78512617082067
Smp_028070,0.5612,0.457794011484975
Smp_028120,-0.6770,-0.762139293852959
Smp_028130,9.3579,9.06847119286784
Smp_028140,-0.8633,-0.931415678067166
Smp_028190,1.2672,1.17719331466355
Smp_028200,0.6840,0.581834606848939
Smp_028210,8.0807,7.94615223061151
Smp_028330,0.9194,0.80679216191771
Smp_028340,-0.8956,-0.968102099965665
Smp_028360,4.1967,4.06898677550249
Smp_028440,-0.8354,-0.942849841943849
Smp_028490,4.8632,4.61225899816205
Smp_028670,-2.5380,-2.5777525367838
Smp_028690,-2.0395,-2.10402281804361
Smp_028730,1.1690,1.09155901078997
Smp_028870,-6.1984,-5.78600329707223
Smp_028910,2.7571,4.92694398033084
Smp_028930,0.9529,0.889359562029644
Smp_028940,-1.4023,-1.51398193609727
Smp_028980,-0.9194,-0.931835495283134
Smp_029040,-0.8119,-0.902061398546049
Smp_029070,-0.8723,-0.82185911331056
Smp_029100,-0.8458,-0.92455233980169
Smp_029160,-0.5121,-0.588222197909273
Smp_029230,-1.4384,-1.59887037720295
Smp_029240,-2.2627,-2.35970529653158
Smp_029310,-1.4753,-1.55821281169992
Smp_029360,-0.6878,-0.700342828333871
Smp_029410,-1.5082,-1.61795019167061
Smp_029470,-1.4732,-2.15066317455074
Smp_029480,4.6947,4.3695801512101
Smp_029500,-0.8040,-0.891946079600056
Smp_029520,-1.3293,-1.33285473509091
Smp_029670,-1.5570,-1.85225407072765
Smp_029740,-0.8231,-0.918477825808099
Smp_029750,-1.2745,-1.36119765086856
Smp_029800,2.6275,2.34151202935135
Smp_029820,-2.3021,-2.40635535402391
Smp_029850,-2.7689,-2.81186698249993
Smp_029900,-1.0454,-1.13542006692418
Smp_029930,4.3852,4.78694661371761
Smp_029990,-1.0600,-0.964378030154126
Smp_030000,1.4460,1.34838142175345
Smp_030010,-0.9249,-1.03486916780981
Smp_030020,1.1957,1.12643378127884
Smp_030150,-0.7063,-0.762206162038061
Smp_030180,-1.4426,-1.53885159015933
Smp_030280,-0.7254,-0.770908897353859
Smp_030290,-1.2570,-1.35400306343788
